name,category,description,pricing,key_features,best_for,deployment,ai_models,languages_supported,company,launch_year,free_tier,vibe_score
Cursor,AI Code Editor,VS Code fork with built-in AI assistant for code generation and editing,$20/month Pro,"AI-powered code completions, natural language editing, multi-file changes, chat interface","Professional developers, iterative development",Desktop,"Claude 3.5 Sonnet, GPT-4o",80+,Anysphere,2023,Yes,9/10
Windsurf,AI Code Editor,Agentic code editor with autonomous AI flows and contextual understanding,$15/month Pro,"Cascade AI flows, Supercomplete, Inline AI, contextual understanding, automatic bug fixing","Data science projects, autonomous coding workflows",Desktop,"Claude 3.5 Sonnet, GPT-4",70+,Codeium,2024,Yes,8.5/10
GitHub Copilot,AI Code Assistant,AI pair programmer developed by GitHub and OpenAI,"$10/month Individual, $19/month Business","Code suggestions, chat interface, pull request summaries, test generation","GitHub ecosystem users, team collaboration",IDE Extension,"GPT-4, Codex",Dozens,GitHub/Microsoft,2021,Yes (limited),7.5/10
Bolt.new,Web-based AI Builder,AI-powered web app builder with full-stack development capabilities,"Free tier, $20/month Pro","Full-stack development, NPM packages, deployment integration, error detection","Rapid prototyping, MVP development, demos",Web Browser,Claude 3.5 Sonnet,"JavaScript, TypeScript, React, Vue, Svelte",StackBlitz,2024,Yes,8/10
Lovable,Web-based AI Builder,Chat-driven web app builder with Supabase integration and multiplayer features,"$25/month Pro, Teams available","Text-to-app generation, Supabase integration, multiplayer workspaces, security scanning","Quick prototyping, team collaboration, production apps",Web Browser,"GPT-4, Claude","React, TypeScript, shadcn/ui",Lovable,2024,Yes,8.5/10
v0 by Vercel,Web-based AI Builder,Generative UI tool for creating React components and apps with natural language,"Free tier, Premium plans available","Component generation, Vercel deployment, iterative design, code export","UI/UX prototyping, React development, landing pages",Web Browser,"GPT-4, Custom models","React, Next.js, TypeScript",Vercel,2023,Yes,8/10
Databutton,Web-based AI Builder,AI app builder with MCP support for creating tools that AI assistants can use,"Free tier, Pro plans available","Full-stack apps, MCP integration, natural language coding, AI tool creation","Business tools, AI assistant integrations, automation",Web Browser,"GPT-4, Claude","Python, JavaScript, React",Databutton,2023,Yes,7.5/10
Tempo AI,Visual IDE,Visual IDE for React with AI assistance and design-to-code capabilities,Beta pricing TBA,"Visual design panel, Figma plugin, AI reasoning, SaaS templates, Expo support","React development, design-to-code workflows, mobile apps",Web Browser,"Gemini, Claude","React, React Native, TypeScript",Tempo Labs,2024,Yes (Beta),7/10
Claude Artifacts,AI Chat Platform,AI-powered single page app creation within Claude's chat interface,$20/month Claude Pro,"Interactive components, HTML/CSS/JS generation, real-time preview, iteration","Quick prototypes, educational tools, simple web apps",Web Browser,Claude 3.5 Sonnet,"HTML, CSS, JavaScript, React",Anthropic,2024,Yes (limited),8/10
TabNine,AI Code Assistant,AI-powered code completion and chat for 80+ languages with enterprise security,"$12/month Pro, Enterprise available","Code completion, AI chat, privacy-focused, customizable, enterprise security","Enterprise development, security-conscious teams, multi-language projects",IDE Extension,"Custom models, GPT",80+,Codota,2019,Yes,7/10
Codeium,AI Code Assistant,"Free AI coding assistant with autocomplete, chat, and command features","Free, $12/month Teams","Free unlimited usage, autocomplete, chat, command palette, 70+ languages","Individual developers, cost-conscious teams, learning",IDE Extension,Proprietary models,70+,Exafunction,2022,Yes (generous),7.5/10
Aider,Terminal AI Assistant,AI pair programming in the terminal with git integration and voice support,"Open source, pay for LLM APIs","Terminal-based, git integration, voice commands, codebase mapping, linting","Command-line developers, existing codebases, git workflows",Terminal/CLI,"Claude 3.5 Sonnet, DeepSeek, GPT-4o, o1",All major languages,Open Source,2023,Yes (open source),8/10
Sourcegraph Cody,Enterprise AI Assistant,Enterprise AI code assistant with whole codebase context and shared prompts,"Free tier, $9/month Pro, Enterprise available","Codebase context, shared prompts, multiple models, auto-edit, prompt library","Enterprise teams, large codebases, consistent quality across teams",IDE Extension,"Claude Sonnet 4, Gemini 1.5 Pro, GPT-4o, Mixtral",All major languages,Sourcegraph,2023,Yes,7.5/10
Gemini Code Assist,AI Code Assistant,Google's AI coding assistant with strong integration in Google Cloud ecosystem,"Free (limited), Enterprise pricing","Multi-language support, adaptive learning, debugging assistance, documentation citations","Google Cloud users, enterprise development, learning",IDE Extension,Gemini family,"Python, JavaScript, Java, Go, etc.",Google,2024,Yes,7/10
Replit AI,Cloud IDE,Browser-based coding environment with integrated AI assistance,"Free tier, $7/month Hacker, $20/month Pro","Cloud-based IDE, real-time collaboration, AI code generation, instant deployment","Education, collaboration, quick experiments, beginners",Web Browser,"Custom models, GPT",50+ languages,Replit,2016 (AI added 2022),Yes,7/10
Bubble,No-code Platform,Visual programming platform with AI assistance for complex app development,"$29/month Personal, higher tiers available","Visual workflows, database management, API integrations, responsive design","Complex web applications, startups, non-technical builders",Web Browser,Integrated AI features,Visual programming,Bubble Group,2012,Yes,6.5/10
Glide,No-code Platform,Data-driven app builder that converts spreadsheets to web applications,"$49/month Business, other tiers available","Spreadsheet integration, data syncing, templates, mobile-responsive","Data-heavy applications, business tools, rapid deployment",Web Browser,Built-in AI features,Visual programming,Glide Apps,2018,Yes,6/10
Softr,No-code Platform,Business tool builder with pre-built templates and automation integrations,"$49/month Professional, other tiers available","Pre-built templates, drag-and-drop, automation integrations, custom workflows","Internal business tools, portals, tracking systems",Web Browser,AI-enhanced features,Visual programming,Softr,2020,Yes,6/10
